"Tanggal Kasus","Aceh","Bali","Banten","Babel","Bengkulu","DIY","Jakarta","Jambi","Jabar","Jateng","Jatim","Kalbar","Kaltim","Kalteng","Kalsel","Kaltara","Kep.Riau","NTB","Sumsel","Sumbar","Sulut","Sumut","Sultra","Sulsel","Sulteng","Lampung","Riau","Malut","Maluku","Papbar","Papua","Sulbar","NTT","Gorontalo"
"27 Aug",NA,NA,NA,235,305,NA,NA,296,NA,NA,NA,611,NA,NA,NA,361,825,NA,NA,NA,NA,NA,NA,NA,239,376,NA,NA,NA,720,NA,368,174,NA
"28 Aug",NA,NA,NA,235,329,NA,NA,302,NA,NA,NA,611,NA,NA,NA,373,861,NA,NA,NA,NA,NA,NA,NA,240,378,NA,NA,NA,726,NA,384,176,NA
"29 Aug",NA,NA,NA,235,332,NA,NA,302,NA,NA,NA,627,NA,NA,NA,379,900,NA,NA,NA,NA,NA,NA,NA,241,382,NA,NA,NA,746,NA,388,176,NA
"30 Aug",NA,NA,NA,239,343,NA,NA,302,NA,NA,NA,645,NA,NA,NA,382,900,NA,NA,NA,NA,NA,NA,NA,241,389,NA,NA,NA,752,NA,393,177,NA
"31 Aug",NA,NA,NA,239,343,NA,NA,302,NA,NA,NA,645,NA,NA,NA,384,990,NA,NA,NA,NA,NA,NA,NA,243,395,NA,NA,NA,807,NA,395,177,NA
"1 Sep",NA,NA,NA,239,349,NA,NA,302,NA,NA,NA,653,NA,NA,NA,392,NA,NA,NA,NA,NA,NA,NA,NA,244,399,NA,NA,NA,831,NA,396,179,NA
"2 Sep",NA,NA,NA,239,353,NA,NA,303,NA,NA,NA,659,NA,NA,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,245,410,NA,NA,NA,836,NA,396,191,NA
"3 Sep",NA,NA,NA,240,361,NA,NA,303,NA,NA,NA,674,NA,NA,NA,422,NA,NA,NA,NA,NA,NA,NA,NA,249,424,NA,NA,NA,861,NA,402,200,NA
"4 Sep",NA,NA,NA,242,364,NA,NA,304,NA,NA,NA,685,NA,NA,NA,426,NA,NA,NA,NA,NA,NA,NA,NA,249,428,NA,NA,NA,888,NA,402,202,NA
"5 Sep",NA,NA,NA,242,369,NA,NA,304,NA,NA,NA,691,NA,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,NA,252,440,NA,NA,NA,895,NA,419,204,NA
"6 Sep",NA,NA,NA,243,391,NA,NA,304,NA,NA,NA,704,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,252,452,NA,NA,NA,908,NA,419,206,NA
"7 Sep",NA,NA,NA,243,391,NA,NA,304,NA,NA,NA,704,NA,NA,NA,448,NA,NA,NA,NA,NA,NA,NA,NA,252,455,NA,NA,NA,940,NA,419,206,NA
"8 Sep",NA,NA,NA,250,394,NA,NA,304,NA,NA,NA,711,NA,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,257,466,NA,NA,NA,941,NA,435,209,NA
"9 Sep",NA,NA,NA,252,397,NA,NA,308,NA,NA,NA,723,NA,NA,NA,456,NA,NA,NA,NA,NA,NA,NA,NA,261,488,NA,NA,NA,959,NA,450,213,NA
"10 Sep",NA,NA,NA,263,400,NA,NA,309,NA,NA,NA,728,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,NA,NA,261,509,NA,NA,NA,970,NA,456,213,NA
"11 Sep",NA,NA,NA,270,430,NA,NA,314,NA,NA,NA,736,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,269,511,NA,NA,NA,NA,NA,458,213,NA
"12 Sep",NA,NA,NA,275,458,NA,NA,319,NA,NA,NA,747,NA,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,269,555,NA,NA,NA,NA,NA,462,217,NA
"13 Sep",NA,NA,NA,283,466,NA,NA,321,NA,NA,NA,754,NA,NA,NA,469,NA,NA,NA,NA,NA,NA,NA,NA,271,555,NA,NA,NA,NA,NA,470,237,NA
"14 Sep",NA,NA,NA,283,467,NA,NA,321,NA,NA,NA,780,NA,NA,NA,474,NA,NA,NA,NA,NA,NA,NA,NA,271,615,NA,NA,NA,NA,NA,471,237,NA
"15 Sep",NA,NA,NA,284,476,NA,NA,331,NA,NA,NA,784,NA,NA,NA,479,NA,NA,NA,NA,NA,NA,NA,NA,272,644,NA,NA,NA,NA,NA,475,276,NA
"16 Sep",NA,NA,NA,295,480,NA,NA,345,NA,NA,NA,803,NA,NA,NA,481,NA,NA,NA,NA,NA,NA,NA,NA,276,666,NA,NA,NA,NA,NA,477,289,NA
"17 Sep",NA,NA,NA,305,510,NA,NA,351,NA,NA,NA,825,NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,278,687,NA,NA,NA,NA,NA,482,302,NA
"18 Sep",NA,NA,NA,306,523,NA,NA,358,NA,NA,NA,840,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,289,694,NA,NA,NA,NA,NA,484,313,NA
"19 Sep",NA,NA,NA,310,530,NA,NA,372,NA,NA,NA,861,NA,NA,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,297,715,NA,NA,NA,NA,NA,485,315,NA
"20 Sep",NA,NA,NA,311,536,NA,NA,386,NA,NA,NA,867,NA,NA,NA,489,NA,NA,NA,NA,NA,NA,NA,NA,320,728,NA,NA,NA,NA,NA,504,321,NA
"21 Sep",NA,NA,NA,312,536,NA,NA,386,NA,NA,NA,868,NA,NA,NA,492,NA,NA,NA,NA,NA,NA,NA,NA,321,738,NA,NA,NA,NA,NA,505,321,NA
"22 Sep",NA,NA,NA,320,541,NA,NA,386,NA,NA,NA,879,NA,NA,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,330,762,NA,NA,NA,NA,NA,530,332,NA
"23 Sep",NA,NA,NA,334,572,NA,NA,395,NA,NA,NA,885,NA,NA,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,344,778,NA,NA,NA,NA,NA,540,349,NA
"24 Sep",NA,NA,NA,335,579,NA,NA,399,NA,NA,NA,901,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,348,799,NA,NA,NA,NA,NA,546,367,NA
"25 Sep",NA,NA,NA,336,590,NA,NA,409,NA,NA,NA,935,NA,NA,NA,556,NA,NA,NA,NA,NA,NA,NA,NA,354,814,NA,NA,NA,NA,NA,567,388,NA
"26 Sep",NA,NA,NA,337,600,NA,NA,425,NA,NA,NA,946,NA,NA,NA,563,NA,NA,NA,NA,NA,NA,NA,NA,375,826,NA,NA,NA,NA,NA,571,394,NA
"27 Sep",NA,NA,NA,337,645,NA,NA,446,NA,NA,NA,957,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,375,841,NA,NA,NA,NA,NA,617,402,NA
"28 Sep",NA,NA,NA,337,647,NA,NA,467,NA,NA,NA,957,NA,NA,NA,573,NA,NA,NA,NA,NA,NA,NA,NA,393,851,NA,NA,NA,NA,NA,617,402,NA
"29 Sep",NA,NA,NA,347,665,NA,NA,490,NA,NA,NA,974,NA,NA,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,402,875,NA,NA,NA,NA,NA,773,406,NA
"30 Sep",NA,NA,NA,361,693,NA,NA,513,NA,NA,NA,982,NA,NA,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,410,894,NA,NA,NA,NA,NA,794,424,NA
"1 Oct",NA,NA,NA,371,713,NA,NA,534,NA,NA,NA,NA,NA,NA,NA,583,NA,NA,NA,NA,NA,NA,NA,NA,440,907,NA,NA,NA,NA,NA,804,429,NA
"2 Oct",NA,NA,NA,387,722,NA,NA,558,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,450,932,NA,NA,NA,NA,NA,809,439,NA
"3 Oct",NA,NA,NA,406,724,NA,NA,571,NA,NA,NA,NA,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,461,942,NA,NA,NA,NA,NA,820,448,NA
"4 Oct",NA,NA,NA,411,728,NA,NA,593,NA,NA,NA,NA,NA,NA,NA,603,NA,NA,NA,NA,NA,NA,NA,NA,466,951,NA,NA,NA,NA,NA,829,464,NA
"5 Oct",NA,NA,NA,423,752,NA,NA,618,NA,NA,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,NA,NA,NA,NA,467,988,NA,NA,NA,NA,NA,830,465,NA
"6 Oct",NA,NA,NA,428,758,NA,NA,647,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,NA,NA,842,467,NA
"7 Oct",NA,NA,NA,438,762,NA,NA,669,NA,NA,NA,NA,NA,NA,NA,623,NA,NA,NA,NA,NA,NA,NA,NA,514,NA,NA,NA,NA,NA,NA,862,485,NA
"8 Oct",NA,NA,NA,440,774,NA,NA,715,NA,NA,NA,NA,NA,NA,NA,629,NA,NA,NA,NA,NA,NA,NA,NA,528,NA,NA,NA,NA,NA,NA,868,532,NA
"9 Oct",NA,NA,NA,454,785,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,632,NA,NA,NA,NA,NA,NA,NA,NA,539,NA,NA,NA,NA,NA,NA,878,551,NA
"10 Oct",NA,NA,NA,461,796,NA,NA,790,NA,NA,NA,NA,NA,NA,NA,637,NA,NA,NA,NA,NA,NA,NA,NA,552,NA,NA,NA,NA,NA,NA,879,558,NA
"11 Oct",NA,NA,NA,474,803,NA,NA,812,NA,NA,NA,NA,NA,NA,NA,645,NA,NA,NA,NA,NA,NA,NA,NA,568,NA,NA,NA,NA,NA,NA,894,565,NA
"12 Oct",NA,NA,NA,474,804,NA,NA,825,NA,NA,NA,NA,NA,NA,NA,649,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,894,565,NA
"13 Oct",NA,NA,NA,475,807,NA,NA,863,NA,NA,NA,NA,NA,NA,NA,662,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,NA,NA,NA,917,572,NA
"14 Oct",NA,NA,NA,480,825,NA,NA,893,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,NA,NA,NA,NA,932,574,NA
"15 Oct",NA,NA,NA,484,832,NA,NA,916,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,617,NA,NA,NA,NA,NA,NA,939,575,NA
"16 Oct",NA,NA,NA,488,839,NA,NA,942,NA,NA,NA,NA,NA,NA,NA,687,NA,NA,NA,NA,NA,NA,NA,NA,617,NA,NA,NA,NA,NA,NA,944,582,NA
"17 Oct",NA,NA,NA,499,862,NA,NA,968,NA,NA,NA,NA,NA,NA,NA,691,NA,NA,NA,NA,NA,NA,NA,NA,668,NA,NA,NA,NA,NA,NA,949,584,NA
"18 Oct",NA,NA,NA,515,877,NA,NA,982,NA,NA,NA,NA,NA,NA,NA,714,NA,NA,NA,NA,NA,NA,NA,NA,685,NA,NA,NA,NA,NA,NA,952,587,NA
"19 Oct",NA,NA,NA,516,880,NA,NA,988,NA,NA,NA,NA,NA,NA,NA,715,NA,NA,NA,NA,NA,NA,NA,NA,687,NA,NA,NA,NA,NA,NA,952,588,NA
"20 Oct",NA,NA,NA,523,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,NA,NA,NA,NA,NA,NA,NA,NA,726,NA,NA,NA,NA,NA,NA,967,592,NA
"21 Oct",NA,NA,NA,538,917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,NA,NA,NA,971,605,NA
"22 Oct",NA,NA,NA,544,928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,971,615,NA
"23 Oct",NA,NA,NA,544,961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,NA,NA,NA,NA,NA,NA,NA,NA,787,NA,NA,NA,NA,NA,NA,971,634,NA
"24 Oct",NA,NA,NA,549,969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766,NA,NA,NA,NA,NA,NA,NA,NA,799,NA,NA,NA,NA,NA,NA,978,649,NA
"25 Oct",NA,NA,NA,553,995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,NA,NA,NA,NA,NA,NA,NA,NA,817,NA,NA,NA,NA,NA,NA,987,652,NA
"26 Oct",NA,NA,NA,554,995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,NA,NA,NA,NA,NA,NA,NA,NA,821,NA,NA,NA,NA,NA,NA,988,653,NA
"27 Oct",NA,NA,NA,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,NA,NA,NA,NA,NA,997,667,NA
"28 Oct",NA,NA,NA,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,805,NA,NA,NA,NA,NA,NA,NA,NA,848,NA,NA,NA,NA,NA,NA,NA,669,NA
"29 Oct",NA,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,855,NA,NA,NA,NA,NA,NA,NA,679,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
